away_team_errors,away_team_hits,l_pitcher_wins,game_status,home_team_runs,sv_pitcher,l_pitcher,w_pitcher_wins,l_team,sv_pitcher_saves,w_pitcher,away_team,game_league,l_pitcher_losses,date,game_start_time,home_team_errors,home_team,game_id,w_team,game_type,w_pitcher_losses,away_team_runs,home_team_hits
4,10,0,FINAL,5,. ,. ,0,,0,. ,Marlins,NN,0,2009-02-25 12:05:00,1:05PM,1,Cardinals,2009_02_25_flomlb_slnmlb_1,,go_game,0,5,14
0,14,0,FINAL,0,. ,R. Choate,1,Rays,0,J. Cueto,Reds,NA,1,2009-02-25 12:05:00,1:05PM,2,Rays,2009_02_25_cinmlb_tbamlb_1,Reds,go_game,0,7,4
2,8,0,FINAL,12,R. Rodriguez,O. Dotel,1,White Sox,1,S. Shields,White Sox,AA,1,2009-02-25 14:05:00,3:05PM,1,Angels,2009_02_25_chamlb_anamlb_1,Angels,go_game,0,3,12
3,9,0,FINAL,12,. ,H. Ramirez,1,Royals,0,K. Benson,Royals,AA,1,2009-02-25 14:05:00,3:05PM,0,Rangers,2009_02_25_kcamlb_texmlb_1,Rangers,go_game,0,7,20
4,11,0,FINAL,1,. ,R. Romero,1,Blue Jays,0,J. Veras,Yankees,AA,1,2009-02-25 12:05:00,1:05PM,0,Blue Jays,2009_02_25_nyamlb_tormlb_1,Yankees,go_game,0,6,4
1,10,0,FINAL,5,J. Stevens,R. Troncoso,1,Dodgers,1,K. Kadokura,Dodgers,NN,1,2009-02-25 14:05:00,3:05PM,0,Cubs,2009_02_25_lanmlb_chnmlb_1,Cubs,go_game,0,3,8
0,9,0,FINAL,3,. ,. ,0,,0,. ,Athletics,AN,0,2009-02-25 14:05:00,3:05PM,0,Brewers,2009_02_25_oakmlb_milmlb_1,,go_game,0,3,12
0,11,0,FINAL,7,J. English,E. Mujica,1,Indians,1,B. Medders,Giants,NA,1,2009-02-25 14:05:00,3:05PM,0,Indians,2009_02_25_sfnmlb_clemlb_1,Giants,go_game,0,10,10
0,15,0,FINAL,3,. ,B. Hennessey,1,Orioles,0,P. Feliciano,Mets,NA,1,2009-02-25 12:05:00,1:05PM,0,Orioles,2009_02_25_nynmlb_balmlb_1,Mets,go_game,0,9,9
0,5,0,FINAL,7,. ,K. Prohovich,1,Eagles,0,J. Tazawa,Eagles,NA,1,2009-02-25 12:05:00,1:05PM,0,Red Sox,2009_02_25_bocbbc_bosmlb_1,Red Sox,go_game,0,1,8
